,Address,City,Price,Bedroom,Bathroom,Floors,Parking,Face,Area
96,Pasikot,Kathmandu,45000000,4,4,3.00,4,South West,11.00
97,Nearby Pawan Pakriti School.,Lalitpur,12500000,2,1,1.50,1,South,3.00
98,Ochu Height,Lalitpur,19000000,4,3,2.50,2,North West,3.50
99,chyasingdol,Kathmandu,32000000,0,0,0.00,0,South West,10.00
100,Birendrachwok,Kathmandu,15500000,2,1,1.50,2,South West,4.00
101,Bhuddha colony,Kathmandu,3000000,0,0,0.00,0,West,12.00
102,Sankhamul,Kathmandu,6500000,0,0,0.00,0,East,18.00
103,High Vision Colony,Kathmandu,2350000,0,0,0.00,0,South,5.00
104,Golfutar,Kathmandu,4100000,0,0,0.00,0,East,4.00
105,Simara Chok,Bara,100000,0,0,0.00,0,West,79.00
106,Basundhara,Kathmandu,200000,0,0,0.00,0,North West,10.00
107,kumarigal,Kathmandu,3500000,0,0,0.00,0,South,6.10
108,Budhanilkanta,Kathmandu,30000,2,1,0.00,0,West,4.00
109,Man,Kathmandu,2800000,0,0,0.00,0,West,18.00
110,Man,Kathmandu,3500000,0,0,0.00,0,East,18.00
111,Nearby Baudheshwor Temple,Kathmandu,1500000,0,0,0.00,0,East,7.00
112,Omchowk,Birtamod,1250000,0,0,0.00,0,East,230.00
113,Phutung,Kathmandu,1100000,0,0,0.00,0,South,4.00
114,Chabahil,Kathmandu,8500000,0,0,0.00,0,South,5.50
115,Jarankhu,Kathmandu,2850000,0,0,0.00,0,South,4.00
116,Dharmasthali,Kathmandu,1450000,0,0,0.00,0,West,5.00
117,Budhanilkantha,Kathmandu,2600000,0,0,0.00,0,East,41.00
118,Budhanilkantha,Kathmandu,3800000,0,0,0.00,0,East,16.00
119,Budhanilkantha,Kathmandu,3500000,0,0,0.00,0,South,10.00
120,Dilli bazzar road,Kathmandu,1000000,0,0,0.00,0,North,3.00
121,Budhanilkantha,Kathmandu,3500000,0,0,0.00,0,East,8.10
122,Golfutar,Kathmandu,4200000,0,0,0.00,0,South,8.00
123,Budhanilkantha,Kathmandu,6000000,0,0,0.00,0,East,128.00
124,Grande Villa height,Kathmandu,20000,2,1,0.00,1,West,5.50
125,duwakot,Bhaktapur,2100000,0,0,0.00,0,South,6.00
126,Chakrapath,Kathmandu,32000,2,2,5.00,0,West,2.92
127,Kist hospital to hatiban road,Lalitpur,3500000,0,0,0.00,0,South West,4.50
128,Man,Kathmandu,75000,7,7,3.00,3,South,9.00
129,ranibari,Kathmandu,30000,1,1,0.00,1,East,10.00
130,Bishal Nagar,Kathmandu,8500000,0,0,0.00,0,East,29.00
131,jyoti nagar,Kathmandu,2450000,0,0,0.00,0,North East,5.00
132,Baluwatar,Kathmandu,5700000,0,0,0.00,0,East,16.00
133,Pyukha new road,Kathmandu,20000,0,1,0.00,0,South,0.91
134,Man,Kathmandu,7000000,0,0,0.00,0,East,12.00
135,Pyukha marg near bira complex,Kathmandu,65000,0,1,0.00,0,South,0.93
136,Hattigauda,Kathmandu,2500000,0,0,0.00,0,South,9.00
137,Imadol Mahalaxmi 1,Lalitpur,35000,0,0,5.00,2,East,9.00
138,Budhanilkantha,Kathmandu,4000000,0,0,0.00,0,North East,64.00
139,Budhanilkantha,Kathmandu,250000,6,7,3.00,6,South East,21.00
140,Ranibari,Kathmandu,5700000,0,0,0.00,0,East,4.00
141,Golfutar,Kathmandu,3000000,0,0,0.00,0,South West,5.00
